yrke,yrke_navn,hovedgruppe,hovedgruppe_navn,yrkesgruppe,yrkesgruppe_navn,lonnstakere,lonnstakere_start,vekst_antall,vekst_pst,median_lonn_start,reallonn_start,reallonn_slutt,lonn_vekst_pst,reallonn_vekst_pst,endring_bruddkvartal,median_lonn,median_lonn_kvinner,median_lonn_menn,gjennomsnittsalder,avtalt_arbeidstid,kvinner,menn,kvinneandel,under_40,fra_40_til_54,fra_55,andel_55plus,sykefravaer_pst,sykefravaer_aar,sammenlignbar,kvartal_start,kvartal_slutt
4312,Forsikrings- og finansmedarbeidere,4,Kontoryrker,43,Økonomi- og logistikkmedarbeidere,341,529,-188,-0.35538752362948955,38710.0,53092.91555555555,54540.0,0.40893825884784296,0.027255697474934282,-16,54540.0,54540.0,,47.9,32.8,281,60,0.8240469208211144,109,86,146,0.4281524926686217,5.0,2025,false,2016K2,2026K2
5211,Torghandlere,5,Salgs- og serviceyrker,52,Salgsyrker,339,389,-50,-0.12853470437018,41480.0,56892.12444444444,62000.0,0.49469623915139826,0.08978176866190757,-38,62000.0,,63060.0,45.9,28.4,111,228,0.3274336283185841,138,109,92,0.2713864306784661,3.9,2025,false,2016K2,2026K2
2659,Andre utøvende kunstneriske yrker,2,Akademiske yrker,26,"Juridiske, samfunnsvitenskapelige og humanistiske yrker",336,154,182,1.1818181818181817,29720.0,40762.631111111106,60260.0,1.0275908479138627,0.47831477893914176,-27,60260.0,60260.0,60000.0,40.5,17.9,184,152,0.5476190476190477,203,93,40,0.11904761904761904,2.3,2025,false,2016K2,2026K2
4411,Bibliotekassistenter,4,Kontoryrker,44,"Postbud, arkiv- og personalkontormedarbeidere",321,687,-366,-0.5327510917030568,31550.0,43272.57777777778,45420.0,0.43961965134706804,0.04962547489659874,-25,45420.0,45630.0,,43.1,11.2,251,70,0.7819314641744548,193,63,65,0.20249221183800623,4.9,2025,false,2016K2,2026K2
2112,Meteorologer,2,Akademiske yrker,21,"Realister, sivilingeniører mv.",316,215,101,0.46976744186046515,48960.0,67151.35999999999,66300.0,0.35416666666666674,-0.012678224238496183,-3,66300.0,65590.0,67110.0,42.6,34.4,142,174,0.44936708860759494,135,132,49,0.1550632911392405,2.2,2018,false,2016K2,2026K2
3133,Kontrolloperatører innen kjemisk prosessindustri,3,Høyskoleyrker,31,Ingeniører mv.,312,394,-82,-0.20812182741116747,41410.0,56796.11555555555,65040.0,0.570635112291717,0.14514873708890574,-9,65040.0,,65090.0,50.0,35.8,27,285,0.08653846153846154,57,132,123,0.3942307692307692,3.4,2025,false,2016K2,2026K2
7221,Smeder,7,Håndverkere,72,Metall- og maskinarbeidere,307,198,109,0.5505050505050506,34130.0,46811.191111111104,49770.0,0.4582478757691182,0.06320729762816457,29,49770.0,,50390.0,41.3,30.0,74,233,0.24104234527687296,139,96,72,0.23452768729641693,8.2,2025,false,2016K2,2026K2
2653,Koreografer og dansere,2,Akademiske yrker,26,"Juridiske, samfunnsvitenskapelige og humanistiske yrker",302,202,100,0.49504950495049505,39290.0,53888.41777777777,54050.0,0.37566810893357094,0.0029984592030247725,-46,54050.0,52050.0,55500.0,35.5,24.5,202,100,0.6688741721854304,210,73,19,0.06291390728476821,3.8,2025,false,2016K2,2026K2
7534,Møbeltapetserere mv.,7,Håndverkere,75,Andre håndverkspregede yrker,298,363,-65,-0.17906336088154273,33670.0,46180.27555555555,45000.0,0.3365013365013365,-0.02555800157874022,-11,45000.0,,45540.0,47.1,34.0,104,194,0.348993288590604,78,113,107,0.35906040268456374,4.8,2025,false,2016K2,2026K2
9510,Reklamedistributører mv.,9,"Renholdere, hjelpearbeidere mv.",95,Reklamedistributører mv.,297,214,83,0.3878504672897196,31620.0,43368.58666666666,45180.0,0.4288425047438331,0.041767866388083164,-1,45180.0,,45910.0,42.5,31.6,47,250,0.15824915824915825,130,102,65,0.21885521885521886,5.4,2025,false,2016K2,2026K2
8141,Operatører innen produksjon av gummiprodukter,8,"Prosess- og maskinoperatører, transportarbeidere mv.",81,Prosess- og maskinoperatører,287,335,-48,-0.14328358208955227,32030.0,43930.92444444444,44410.0,0.38651264439587885,0.010905200871914378,-5,44410.0,,44590.0,43.5,36.0,11,276,0.03832752613240418,106,104,77,0.2682926829268293,6.3,2025,false,2016K2,2026K2
2633,"Rådgivere/forskere, humanistiske fag",2,Akademiske yrker,26,"Juridiske, samfunnsvitenskapelige og humanistiske yrker",274,255,19,0.07450980392156858,40420.0,55438.27555555555,58790.0,0.4544779811974271,0.06045867067213573,-16,58790.0,59100.0,58730.0,43.4,34.1,154,120,0.5620437956204379,95,137,42,0.15328467153284672,4.3,2025,false,2016K2,2026K2
9211,Hjelpearbeidere i nyttevekstproduksjon,9,"Renholdere, hjelpearbeidere mv.",92,"Hjelpearbeidere i jordbruk, skogbruk og fiske",263,113,150,1.327433628318584,,,31240.0,,,-236,31240.0,31240.0,31240.0,38.0,26.4,109,154,0.4144486692015209,164,61,38,0.1444866920152091,1.9,2025,false,2016K2,2026K2
7211,Støpere,7,Håndverkere,72,Metall- og maskinarbeidere,259,424,-165,-0.38915094339622647,34000.0,46632.88888888888,46830.0,0.37735294117647067,0.004226868971827447,-31,46830.0,,47090.0,47.6,33.8,13,246,0.05019305019305019,71,99,89,0.3436293436293436,5.8,2025,false,2016K2,2026K2
3514,Internett-teknikere,3,Høyskoleyrker,35,IKT-teknikere,228,290,-62,-0.21379310344827585,45000.0,61719.99999999999,61530.0,0.3673333333333333,-0.0030784186649382983,-5,61530.0,57490.0,68750.0,40.5,34.8,113,115,0.4956140350877193,119,88,21,0.09210526315789473,4.0,2025,false,2016K2,2026K2
3433,Tekniske konservatorer,3,Høyskoleyrker,34,"Yrker innen kultur, idrett mv.",226,152,74,0.48684210526315796,37060.0,50829.84888888888,53840.0,0.45277927684835406,0.05922014676240983,11,53840.0,53570.0,54040.0,46.2,29.7,102,124,0.45132743362831856,70,105,51,0.22566371681415928,4.7,2025,false,2016K2,2026K2
5152,Husholdere,5,Salgs- og serviceyrker,51,Yrker innen personlig tjenesteyting,224,244,-20,-0.08196721311475408,34210.0,46920.91555555555,50920.0,0.4884536685179772,0.08523031567253692,7,50920.0,49230.0,,47.2,27.7,162,62,0.7232142857142857,79,70,75,0.33482142857142855,7.5,2025,false,2016K2,2026K2
2353,Andre språklærere,2,Akademiske yrker,23,Undervisningsyrker,223,83,140,1.6867469879518073,,,50000.0,,,6,50000.0,51860.0,,44.1,13.8,170,53,0.7623318385650224,100,71,52,0.23318385650224216,4.7,2025,false,2016K2,2026K2
3339,Andre yrker innen forretningstjenester,3,Høyskoleyrker,33,"Medarbeidere innen økonomi, administrasjon og salg",223,40,183,4.575,,,70830.0,,,24,70830.0,,71440.0,42.1,35.3,73,150,0.3273542600896861,110,76,37,0.16591928251121077,1.7,2025,false,2016K2,2026K2
7323,Innbindere mv.,7,Håndverkere,73,"Presisjonsarbeidere, kunsthåndverkere, grafiske arbeidere mv.",218,364,-146,-0.4010989010989011,30710.0,42120.47111111111,43290.0,0.40963855421686746,0.027766282238480766,-2,43290.0,,43960.0,47.5,32.6,65,153,0.2981651376146789,57,85,76,0.3486238532110092,5.9,2025,false,2016K2,2026K2
3230,Yrker innen alternativ medisin,3,Høyskoleyrker,32,Helserelaterte yrker,210,212,-2,-0.009433962264150941,37500.0,51433.33333333333,53960.0,0.4389333333333334,0.049125081011017535,-4,53960.0,51700.0,,44.0,30.7,127,83,0.6047619047619047,70,103,37,0.1761904761904762,5.3,2025,false,2016K2,2026K2
6111,Korn- og grønnsaksprodusenter,6,"Bønder, fiskere mv.",61,Jordbrukere,204,230,-26,-0.11304347826086958,26100.0,35797.6,38970.0,0.49310344827586206,0.08862046617650354,-63,38970.0,,40000.0,41.3,21.8,33,171,0.16176470588235295,101,48,55,0.2696078431372549,4.1,2025,false,2016K2,2026K2
3135,Kontrolloperatører innen metallproduksjon,3,Høyskoleyrker,31,Ingeniører mv.,191,256,-65,-0.25390625,43840.0,60128.99555555555,58510.0,0.33462591240875916,-0.026925371704566325,-4,58510.0,,58780.0,50.5,36.2,10,181,0.05235602094240838,37,70,84,0.4397905759162304,5.3,2025,false,2016K2,2026K2
3121,"Arbeidsleder, bergfag",3,Høyskoleyrker,31,Ingeniører mv.,175,166,9,0.054216867469879526,51130.0,70127.63555555555,72080.0,0.4097398787404656,0.027840157863268766,-3,72080.0,,72560.0,48.2,35.3,6,169,0.03428571428571429,43,74,58,0.3314285714285714,4.7,2025,false,2016K2,2026K2
7319,Andre kunsthåndverkere,7,Håndverkere,73,"Presisjonsarbeidere, kunsthåndverkere, grafiske arbeidere mv.",173,136,37,0.2720588235294117,36490.0,50048.062222222215,51560.0,0.41298986023568096,0.030209716633273764,-18,51560.0,,51930.0,43.8,31.6,61,112,0.35260115606936415,72,60,41,0.23699421965317918,9.5,2025,false,2016K2,2026K2
8112,Prosessoperatører (oppredning),8,"Prosess- og maskinoperatører, transportarbeidere mv.",81,Prosess- og maskinoperatører,160,150,10,0.06666666666666665,40360.0,55355.982222222214,62050.0,0.5374132804757186,0.12092672750173916,-5,62050.0,,61890.0,44.4,33.5,13,147,0.08125,61,53,46,0.2875,4.4,2025,false,2016K2,2026K2
8151,Spinne- og nøstemaskinoperatører,8,"Prosess- og maskinoperatører, transportarbeidere mv.",81,Prosess- og maskinoperatører,151,112,39,0.3482142857142858,33590.0,46070.551111111105,45540.0,0.3557606430485263,-0.011516057401430801,-1,45540.0,,,43.1,32.4,102,49,0.6754966887417219,63,51,37,0.24503311258278146,6.0,2025,false,2016K2,2026K2
9123,Vinduspussere,9,"Renholdere, hjelpearbeidere mv.",91,Renholdere mv.,144,87,57,0.6551724137931034,,,,,,-10,,,,39.1,33.6,9,135,0.0625,77,51,16,0.1111111111111111,7.1,2025,false,2016K2,2026K2
2263,Helse- og miljørådgivere,2,Akademiske yrker,22,Medisinske yrker,141,47,94,2.0,,,66720.0,,,0,66720.0,61850.0,,43.1,32.4,94,47,0.6666666666666666,64,46,31,0.2198581560283688,3.9,2025,false,2016K2,2026K2
5221,Innehavere av kiosk/liten butikk,5,Salgs- og serviceyrker,52,Salgsyrker,140,159,-19,-0.11949685534591192,31840.0,43670.328888888886,50000.0,0.5703517587939699,0.1449421442924279,-2,50000.0,,,50.3,30.5,98,42,0.7,31,53,56,0.4,5.2,2025,false,2016K2,2026K2
9216,Hjelpearbeidere innen havbruk,9,"Renholdere, hjelpearbeidere mv.",92,"Hjelpearbeidere i jordbruk, skogbruk og fiske",140,20,120,6.0,,,40510.0,,,-74,40510.0,,,30.0,21.3,52,88,0.37142857142857144,117,10,13,0.09285714285714286,2.5,2025,false,2016K2,2026K2
9623,Måleravlesere mv.,9,"Renholdere, hjelpearbeidere mv.",96,Renovasjons- og gjenvinningsarbeidere mv.,91,181,-90,-0.49723756906077343,32480.0,44548.12444444444,45550.0,0.40240147783251223,0.022489735943989952,-1,45550.0,,,44.5,26.3,37,54,0.4065934065934066,30,36,25,0.27472527472527475,7.3,2025,false,2016K2,2026K2
