kommunenummer,kommune,fylkesnummer,fylke,aar_start,aar_slutt,folkemengde_start,folkemengde_slutt,vekst,vekst_pst,fodselsoverskudd_sum,nettoinnflytting_sum,folketilvekst_sum,restledd_sum,grenseavvik_sum,grenseavvik_maks_pst,grenseavvik_maks_aar,aar_uten_folketall,aar_med_stromtall,sammenlignbar,rangering
1151,Utsira,11,Rogaland,2011,2026,216,219,3,0.013888888888888888,-11.0,14.0,3.0,0.0,0.0,0.0,2011,0.0,15,true,180
1833,Rana - Raane,18,Nordland - Nordlánnda,2011,2026,25499,25844,345,0.013529942350680418,96.0,246.0,345.0,3.0,0.0,0.0,2011,0.0,15,true,181
1112,Lund,11,Rogaland,2011,2026,3186,3229,43,0.01349654739485248,133.0,-92.0,43.0,2.0,0.0,0.0,2011,0.0,15,true,182
4646,Fjaler,46,Vestland,2011,2026,2909,2948,39,0.013406668958404951,-76.0,113.0,39.0,2.0,0.0,0.0,2011,0.0,15,true,183
1824,Vefsn,18,Nordland - Nordlánnda,2011,2026,13307,13481,174,0.01307582475388893,-118.0,268.0,174.0,24.0,0.0,0.0,2011,0.0,15,true,184
5605,Sør-Varanger,56,Finnmark - Finnmárku - Finmarkku,2011,2026,9826,9947,121,0.012314268267860777,99.0,15.0,121.0,7.0,0.0,0.0,2011,0.0,15,true,185
5027,Midtre Gauldal,50,Trøndelag - Trööndelage,2011,2026,6015,6088,73,0.012136325852036575,59.0,10.0,73.0,4.0,0.0,0.0,2011,0.0,15,true,186
5544,Nordreisa - Ráisa - Raisi,55,Troms - Romsa - Tromssa,2011,2026,4805,4863,58,0.012070759625390219,-145.0,194.0,58.0,9.0,0.0,0.0,2011,0.0,15,true,187
5052,Leka,50,Trøndelag - Trööndelage,2011,2026,589,596,7,0.011884550084889643,-59.0,66.0,7.0,0.0,0.0,0.0,2011,0.0,15,true,188
1134,Suldal,11,Rogaland,2011,2026,3850,3891,41,0.01064935064935065,-32.0,76.0,41.0,-3.0,0.0,0.0,2011,0.0,15,true,189
5006,Steinkjer - Stïentje,50,Trøndelag - Trööndelage,2011,2026,23760,24007,247,0.010395622895622895,-394.0,696.0,318.0,16.0,-71.0,0.0027710990667916377,2019,0.0,15,true,190
5025,Røros - Rosse,50,Trøndelag - Trööndelage,2011,2026,5581,5638,57,0.010213223436660097,-297.0,358.0,57.0,-4.0,0.0,0.0,2011,0.0,15,true,191
3440,Øyer,34,Innlandet,2011,2026,5092,5130,38,0.007462686567164179,-37.0,57.0,23.0,3.0,15.0,0.0029452189279403104,2021,0.0,15,true,192
4622,Kvam,46,Vestland,2011,2026,8442,8490,48,0.005685856432125089,-18.0,61.0,48.0,5.0,0.0,0.0,2011,0.0,15,true,193
1566,Surnadal,15,Møre og Romsdal,2011,2026,5949,5982,33,0.005547150781643974,-154.0,187.0,33.0,0.0,0.0,0.0,2011,0.0,15,true,194
3451,Nord-Aurdal,34,Innlandet,2011,2026,6402,6424,22,0.003436426116838488,-190.0,210.0,22.0,2.0,0.0,0.0,2011,0.0,15,true,195
4211,Gjerstad,42,Agder,2011,2026,2497,2502,5,0.002002402883460152,-92.0,92.0,5.0,5.0,0.0,0.0,2011,0.0,15,true,196
1838,Gildeskål,18,Nordland - Nordlánnda,2011,2026,2020,2024,4,0.0019801980198019802,-181.0,191.0,4.0,-6.0,0.0,0.0,2011,0.0,15,true,197
1573,Smøla,15,Møre og Romsdal,2011,2026,2137,2141,4,0.0018717828731867104,-158.0,158.0,4.0,4.0,0.0,0.0,2011,0.0,15,true,198
4022,Seljord,40,Telemark,2011,2026,2955,2959,4,0.0013536379018612521,-165.0,165.0,4.0,4.0,0.0,0.0,2011,0.0,15,true,199
3441,Gausdal,34,Innlandet,2011,2026,6141,6147,6,0.0009770395701025891,-224.0,229.0,6.0,1.0,0.0,0.0,2011,0.0,15,true,200
