aar,ifr_bevegelser_norge_1000,bodo_sektortimer,bodo_ifr_per_sektortime
2019,591.0,,
2020,344.0,26445,5.47
2021,374.0,22463,7.19
2022,525.0,,
2023,547.0,24686,7.33
2024,549.0,24161,7.62
